Title,Company,Level,Skills,JobID
Customer Service Agent,Johnson Controls,Entry Level,Call Center,1
Customer Service Agent,Johnson Controls,Entry Level,Customer Support,2
Customer Service Agent,Johnson Controls,Entry Level,Customer Care,3
Customer Service Agent,Johnson Controls,Entry Level,English,4
Customer Service Agent,Johnson Controls,Entry Level,Customer Service/Support,5
Marketing Manager,SYE English Community,Manager,Market Research,6
Marketing Manager,SYE English Community,Manager,Social Media,7
Marketing Manager,SYE English Community,Manager,Online Marketing,8
Marketing Manager,SYE English Community,Manager,Marketing Management,9
Marketing Manager,SYE English Community,Manager,Marketing Plan,10
Marketing Manager,SYE English Community,Manager,Event Management,11
Marketing Manager,SYE English Community,Manager,Education,12
Marketing Manager,SYE English Community,Manager,FMCG,13
Medical Representative Heliopolis,So Value Pharma,Entry Level,Cardio-metabolic,14
Medical Representative Heliopolis,So Value Pharma,Entry Level,Sales Skills,15
Medical Representative Heliopolis,So Value Pharma,Entry Level,Sales Target,16
Medical Representative Heliopolis,So Value Pharma,Entry Level,Customer Service,17
Medical Representative Heliopolis,So Value Pharma,Entry Level,Customer Care,18
Medical Representative Heliopolis,So Value Pharma,Entry Level,Customer Support,19
Medical Representative Heliopolis,So Value Pharma,Entry Level,Pharmacy,20
Medical Representative Heliopolis,So Value Pharma,Entry Level,Pharmaceutical,21
Medical Representative Heliopolis,So Value Pharma,Entry Level,Science,22
Order Handling Specialist,Johnson Controls,Experienced,Supply Officer,23
Order Handling Specialist,Johnson Controls,Experienced,Supply Planner,24
Order Handling Specialist,Johnson Controls,Experienced,Procurement and Logistics Specialist,25
Order Handling Specialist,Johnson Controls,Experienced,Order Management Specialist,26
Order Handling Specialist,Johnson Controls,Experienced,Order Processing Specialist,27
Storekeeper,Confidential,Experienced,Warehousing,28
Storekeeper,Confidential,Experienced,Storekeeping,29
Storekeeper,Confidential,Experienced,Logistics/Supply Chain,30
Senior .NET Developer (Desktop Application),Dexef,Experienced,ASP.NET,31
Senior .NET Developer (Desktop Application),Dexef,Experienced,Desktop Development,32
Senior .NET Developer (Desktop Application),Dexef,Experienced,Information Technology (IT),33
Senior .NET Developer (Desktop Application),Dexef,Experienced,Devexpress,34
Senior .NET Developer (Desktop Application),Dexef,Experienced,MVC,35
Senior .NET Developer (Desktop Application),Dexef,Experienced,TFS,36
Senior .NET Developer (Desktop Application),Dexef,Experienced,Git,37
Senior .NET Developer (Desktop Application),Dexef,Experienced,Computer Science,38
Senior .NET Developer (Desktop Application),Dexef,Experienced,WinForms,39
Senior .NET Developer (Desktop Application),Dexef,Experienced,MS SQL,40
Preschool French Teacher,Leap Development Hub,Entry Level,Education,41
Preschool French Teacher,Leap Development Hub,Entry Level,Education/Teaching,42
Junior Business Development Specialist (out door),E3mel Business for Financial & Managerial Consultancy,Entry Level,Sales Target,43
Junior Business Development Specialist (out door),E3mel Business for Financial & Managerial Consultancy,Entry Level,Sales Skills,44
Junior Business Development Specialist (out door),E3mel Business for Financial & Managerial Consultancy,Entry Level,B2B Sales,45
Junior Business Development Specialist (out door),E3mel Business for Financial & Managerial Consultancy,Entry Level,B2C Sales,46
Junior Business Development Specialist (out door),E3mel Business for Financial & Managerial Consultancy,Entry Level,Business Development,47
Junior Business Development Specialist (out door),E3mel Business for Financial & Managerial Consultancy,Entry Level,CRM,48
Junior Business Development Specialist (out door),E3mel Business for Financial & Managerial Consultancy,Entry Level,Marketing,49
